"X"	"PD_3_VTA"	"PD_4_SNc"	"PD_5_SNc"	"PD_4_VTA"	"PD_2_SNc"	"PD_5_VTA"	"PD_3_SNc"	"PD_1_SNc"	"PD_1_VTA"
"LOC100129148"	0	0	0	0	0	0	0	0	0
"LOC285626"	0	0	0	0	0	0	0	0	0
"JAZF1-AS1"	0	0	14	0	0	0	0	0	0
"LOC257396"	0	0	0	0	0	0	0	0	0
"RNF144A-AS1"	0	0	0	3	22	3	1	0	2
"MEG3"	1182	116	6712	500	5171	1756	1989	1369	1492
"LINC01260"	0	0	0	0	0	0	0	0	0
"DDX11L9"	0	0	0	0	0	0	0	0	0
"NAV2-AS4"	0	0	0	0	0	0	0	0	0
"LINC00885"	0	0	0	0	0	0	0	0	0
"LOC648987"	0	0	0	0	0	0	0	0	0
"LOC400548"	0	0	0	0	0	0	0	0	0
"LOC100507053"	0	0	0	0	0	0	0	0	0
"SCP2"	175	17	91	121	42	3	50	39	49
"LOC400685"	0	0	0	0	0	0	0	0	0
"CEBPZOS"	85	0	47	4	17	16	15	13	37
"USP3-AS1"	0	0	0	0	0	0	0	0	7
"LOC643733"	0	0	0	0	0	0	0	0	0
"LOC440434"	0	0	0	0	0	0	0	0	0
"THAP9-AS1"	0	0	0	0	0	1	6	2	3
"FLJ22763"	0	0	0	0	0	0	0	0	0
"LINC00890"	0	0	0	0	0	0	0	0	0
"LOC100506085"	0	0	0	0	0	0	0	0	0
"LOC728730"	0	0	0	0	0	0	0	0	0
"RSRC2"	38	1	114	54	68	4	56	33	36
"LINC00837"	0	0	0	0	0	0	0	0	0
"SCN4B"	148	0	4	7	0	0	0	0	6
"PLCE1-AS1"	0	0	0	0	0	0	0	0	0
"IFNA22P"	0	0	0	0	0	0	0	0	0
"DHX37"	7	0	0	0	0	1	0	0	5
"DEF8"	132	9	81	13	15	19	12	12	3
"GUCY2C"	15	0	0	0	0	0	0	0	0
"LINC00851"	0	0	0	0	0	0	0	0	0
"IDI2-AS1"	0	0	0	0	0	0	0	0	0
"LOC100130331"	0	0	0	0	0	0	0	0	0
"LOC101928790"	0	0	0	0	0	0	0	0	0
"BAZ1A"	1	0	0	3	0	4	67	1	0
"LOC285484"	0	0	0	0	0	0	0	0	0
"HTRA4"	0	0	0	0	0	0	0	0	0
"LOC100505795"	0	0	0	0	0	0	0	0	0
"SSU72"	118	10	51	62	82	0	30	40	18
"CNIH4"	172	0	46	31	98	3	46	39	0
"MIR1302-10+MIR1302-11+MIR1302-2+MIR1302-9"	0	0	0	0	0	0	0	0	0
"RNGTT"	32	13	43	1	43	0	15	13	4
"MAGEA6"	0	0	0	0	0	0	0	0	0
"MAGEA3"	0	0	0	0	0	0	0	0	0
"CSNK2B"	35	9	31	10	18	4	14	16	45
"GGT6"	0	0	0	0	0	0	0	0	0
"CD1B"	0	0	0	0	0	0	0	0	0
"ZNF431"	33	1	21	1	29	23	8	2	20
"HSPA12B"	0	0	0	0	0	0	0	0	0
"ZFP82"	4	0	5	0	0	9	5	1	4
"KIAA1958"	22	1	95	9	61	45	25	10	63
"TTC14"	0	0	105	49	194	64	88	139	81
"ZNF418"	0	0	2	1	0	0	6	0	0
"UBQLN1"	260	75	160	153	279	22	109	66	82
"ZFP90"	16	8	81	15	71	0	49	17	17
"SNORA49"	0	0	0	0	0	0	0	0	0
"CD38"	0	0	0	0	0	0	0	0	0
"IGFBP4"	7	6	27	5	77	1	89	46	17
"PROS1"	1	0	2	6	0	0	0	0	0
"PROC"	0	0	0	0	0	0	0	0	0
"PRNP"	1306	117	569	524	1075	378	413	862	1249
"PPOX"	3	0	1	0	4	0	1	0	0
"LOC100130238"	0	0	0	0	0	0	0	0	0
"SLC2A1"	27	1	1	78	3	13	6	14	16
"IPO7"	152	36	114	35	228	83	43	78	72
"ALDH1A2"	0	0	0	0	0	0	0	0	0
"CES5A"	0	0	0	0	0	0	0	0	0
"CALCOCO1"	20	1	47	2	56	11	13	10	5
"RBM41"	56	14	125	14	113	32	16	4	72
"SDCBP2"	6	0	9	1	3	12	0	0	12
"CPD"	5	8	15	12	104	0	27	5	70
"PSMA5"	90	0	41	1	137	0	7	30	4
"RDH5"	0	0	0	0	0	0	0	0	0
"PTPRN"	328	9	204	105	180	41	137	248	194
"ST20-MTHFS"	0	0	0	0	0	0	0	0	0
"MTHFS"	15	2	6	0	0	0	0	0	5
"ST20"	0	0	5	0	2	6	9	0	1
"PPP2R5A"	81	0	4	3	7	0	20	1	123
"PP2D1"	0	0	11	0	0	0	0	0	0
"LOC100294145"	0	0	0	0	0	0	0	0	0
"PSMB8-AS1"	0	0	0	0	0	0	1	0	0
"LOC646903"	0	0	0	0	0	0	0	0	0
"LPP-AS2"	0	0	0	0	0	0	8	0	0
"AAAS"	12	0	10	5	0	0	1	1	0
"RERG"	222	13	46	45	103	10	168	99	39
"DHRS9"	0	0	0	0	0	0	0	0	0
"ACSBG2"	0	0	0	0	0	0	0	0	0
"DEFA6"	0	0	0	0	0	0	0	0	0
"MIR488"	0	0	0	0	0	0	0	0	0
"KIR2DS3"	0	0	0	0	0	0	0	0	0
"BLACAT1"	0	0	0	0	0	0	0	0	0
"PARVG"	0	0	0	0	0	0	0	0	0
"DYNC1H1"	790	141	508	257	400	116	349	188	299
"RNU6-55P"	0	0	0	0	0	0	0	0	0
"RNU6-76P"	0	0	0	0	0	0	0	0	0
"OXER1"	0	0	0	0	0	0	0	0	0
"OTOS"	0	0	0	0	0	0	0	0	0
"HUS1B"	0	0	0	0	0	0	0	0	0
"RNU6-52P"	0	0	0	0	0	0	0	0	0
"ASPH"	111	8	106	81	157	28	83	24	50
"CCL15"	0	0	0	0	0	0	0	0	0
"KRTAP4-2"	0	0	0	0	0	0	0	0	0
"KRTAP4-7"	0	0	0	0	0	0	0	0	0
"GFM1"	50	1	123	18	27	64	29	15	48
"ZNF34"	0	0	0	0	0	0	46	34	0
"SEC22C"	69	10	13	25	16	0	27	38	19
"CECR5"	0	0	0	0	0	0	0	0	0
"ACPT"	0	0	0	0	0	0	0	0	0
"DMRTB1"	0	0	0	0	0	0	0	0	0
"DACT2"	0	0	0	0	0	0	0	0	0
"C17orf89"	0	0	0	0	0	0	0	0	0
"UGDH"	8	0	11	6	0	0	5	0	0
"TM4SF1"	0	0	0	0	0	0	0	0	0
"IMPA2"	0	0	0	0	2	0	2	0	0
"SLC25A13"	30	0	120	22	13	0	38	1	1
"GLTSCR1L"	0	0	0	0	0	0	0	0	0
"TMEM131"	53	21	76	45	44	10	49	23	32
"ZSCAN20"	0	0	0	0	0	0	0	0	0
"FANK1"	0	0	0	0	0	0	0	0	4
"MRPL57"	58	0	13	1	7	0	11	30	34
"EDARADD"	0	0	0	3	0	0	0	0	0
"NTAN1"	0	0	0	0	2	0	3	0	0
"AKR1A1"	50	0	2	3	7	0	18	2	8
"CNTD1"	0	0	1	0	0	0	4	0	11
"RNU6-59P"	0	0	0	0	0	0	0	0	0
"LINC00424"	0	0	0	0	0	0	0	0	0
"LINC01299"	0	0	0	0	0	0	0	0	0
"RNU6-58P"	0	0	0	0	0	0	0	0	0
"AIFM3"	0	0	17	1	6	0	6	0	5
"C1QTNF9B"	0	0	0	0	0	0	0	0	0
"GLS"	548	57	483	155	292	174	183	246	480
"TBC1D3H"	0	0	0	0	0	0	0	0	0
"YOD1"	39	9	23	19	15	3	9	1	7
"NOL3"	2	0	2	3	0	4	0	0	0
"GOLGA8R"	0	0	0	0	0	0	0	0	0
"CYP4F2"	0	0	0	0	0	0	0	0	0
"PTH"	0	0	0	0	0	0	0	0	0
"PPT1"	139	2	115	68	123	68	7	52	144
"RPL29"	23	3	10	0	10	0	4	11	5
"RPL28"	181	12	67	13	15	17	44	50	15
"IAPP"	0	0	0	0	19	0	0	0	0
"PAFAH1B1"	910	95	376	205	302	167	188	189	490
"PKD2"	0	0	7	0	3	8	17	9	0
"KAAG1"	6	0	0	0	0	0	0	0	0
"HLA-DQA2"	0	0	0	0	0	0	0	0	0
"HOXC5"	0	0	0	0	0	0	0	0	0
"EXOC6"	46	0	5	1	29	0	0	0	25
"AGBL5"	0	31	4	0	0	0	18	0	0
"RNU6-78P"	0	0	0	0	0	0	0	0	0
"TMEM9B"	31	0	59	11	43	27	43	16	80
"PNPO"	126	9	154	19	38	22	149	14	65
"SNORD102"	0	0	0	0	0	0	0	0	0
"TMPRSS5"	0	0	0	0	0	0	0	0	0
"DKC1"	102	4	67	1	23	0	13	4	16
"RNU6-63P"	0	0	0	0	0	0	0	0	0
"LTA4H"	13	0	21	1	45	0	37	0	21
"ATP5EP2"	0	0	0	0	0	0	0	0	0
"PAN3-AS1"	0	0	0	0	0	0	0	0	0
"RNU6-82P"	0	0	12	0	0	0	0	0	0
"BCL2L11"	0	0	0	0	0	0	0	0	0
"MPP2"	120	0	56	0	19	5	85	24	35
"RNU6-53P"	0	0	0	0	0	0	0	0	0
"NBPF7"	0	0	0	0	0	0	0	0	0
"LINC00544"	1	0	0	0	0	0	0	0	0
"IQCJ"	11	0	0	0	2	0	0	0	3
"SERPINH1"	0	1	1	1	8	1	2	4	2
"RNU6-64P"	0	0	0	0	0	0	0	0	0
"EEF1D"	0	0	0	8	0	0	1	0	0
"ZNF444"	17	0	8	0	2	0	0	0	18
"TTLL4"	11	0	0	0	3	0	1	0	0
"HOXD9"	0	0	0	0	0	0	0	0	0
"HOXD3"	0	0	0	0	0	0	0	0	0
"SC5D"	104	9	88	31	32	83	86	57	86
"PPP1R8"	37	1	7	1	11	2	40	4	12
"ATAD2"	22	1	20	0	0	5	8	4	0
"EEF1DP3"	0	0	0	0	0	0	0	0	0
"PTPRA"	203	5	210	108	38	107	63	92	184
"WISP1"	0	0	0	0	0	0	0	0	0
"BANP"	0	1	20	7	5	0	5	0	2
"RBBP8NL"	0	0	0	0	0	0	0	0	0
"EHD4"	1	0	0	12	0	0	0	1	0
"PDIA3P1"	1	0	0	1	0	0	0	0	4
"SLC7A5P2"	0	0	0	0	0	0	0	0	0
"UQCRBP1"	0	0	0	0	0	0	0	0	0
"MS4A6E"	0	0	0	2	0	0	0	0	0
"ISM1"	1	0	1	3	0	0	4	0	0
"SRMS"	0	0	0	0	0	0	0	0	0
"ADCY4"	0	0	0	0	0	0	0	0	0
"GPR78"	0	0	0	0	0	0	0	0	0
"PPM1L"	101	2	60	141	96	37	58	66	135
"GPR82"	0	0	0	0	9	0	0	1	0
"ADAD1"	0	0	0	0	0	0	0	0	5
"NFKBID"	2	0	0	0	0	0	15	0	0
"NOL6"	28	4	35	3	13	9	0	0	0
"TGIF2LY"	0	0	0	0	0	0	0	0	0
"HOPX"	0	0	0	0	16	0	3	0	0
"GRK7"	0	0	0	0	0	0	0	0	0
"MAPK1"	509	60	160	71	92	148	92	54	303
"ADAMTS16"	0	0	0	0	0	0	0	0	0
"NAP1L1"	860	26	605	212	454	435	342	245	427
"SIRPA"	58	0	23	0	64	5	12	30	10
"ALKBH3"	10	0	13	0	8	0	15	1	0
"NEU4"	0	0	0	0	0	0	0	0	0
"KRT3"	0	0	0	0	0	0	0	0	0
"SRSF12"	15	13	43	0	1	1	2	0	9
"DPH3P1"	0	0	0	0	0	0	0	0	0
"ROMO1"	13	9	40	26	17	2	17	0	10
"RSAD2"	0	0	0	0	0	0	0	0	6
"NEURL2"	4	0	0	0	0	0	0	0	0
"NUS1"	47	0	3	0	37	10	0	7	94
"DCANP1"	0	0	0	0	0	0	0	0	0
"SSC4D"	137	0	5	0	0	0	0	0	0
"NRSN1"	117	1	15	8	10	90	12	21	0
"RNU6-71P"	0	0	0	0	0	0	0	0	0
"TMEM51"	0	0	0	0	0	0	0	0	0
"ZZZ3"	0	0	0	0	0	0	0	0	0
"MED9"	25	0	1	0	17	0	0	0	0
"STX17"	73	0	20	0	9	1	0	0	11
"PSMD10"	336	5	43	146	122	74	44	107	192
"RFC1"	107	1	59	35	15	0	37	6	30
"PSMD3"	26	2	34	46	23	3	4	28	10
"ANKMY1"	0	0	0	0	0	0	4	0	1
"GDF5"	0	0	0	0	0	0	0	0	0
"NUP153"	0	0	2	1	5	1	0	0	1
"FAM107A"	144	0	26	4	1	7	90	1	16
"EXOSC2"	1	0	1	0	5	0	0	3	3
"CDV3"	102	4	0	4	9	0	31	1	9
"PDIA6"	30	0	18	0	1	0	3	8	2
"TINF2"	0	13	31	0	8	4	0	8	7
"TIMM8B"	28	0	1	0	20	1	5	3	0
"RAB21"	285	47	105	155	153	26	186	55	119
"TIMM13"	81	4	19	0	25	0	24	57	4
"SMC5"	10	5	83	1	17	62	1	23	21
"SYNGR4"	0	0	0	0	0	0	0	31	0
"APPL1"	127	12	118	27	180	96	52	75	174
"PPARGC1A"	11	4	30	0	8	1	19	0	11
"SSBP2"	39	2	25	7	75	0	33	4	1
"PLCH1"	30	3	31	3	0	0	13	0	37
"RAD54L2"	23	26	74	7	10	4	31	20	14
"SF3B1"	168	1	199	55	464	182	61	47	30
"SEMA3E"	84	53	5	2	117	0	44	174	17
"PLCXD1"	0	0	0	0	0	0	0	0	0
"RGPD5+RGPD6+RGPD8"	0	0	0	0	0	0	0	0	0
"RSPH4A"	1	0	0	0	0	6	0	0	0
"GTF2IRD2"	0	0	5	0	0	0	0	4	0
"ESX1"	0	0	0	0	0	0	0	0	0
"CNBD1"	0	0	0	0	0	0	0	0	0
"RNU6-56P"	0	0	0	0	0	0	0	0	0
"SLC7A6OS"	0	0	0	0	1	0	0	1	0
"PHAX"	121	9	24	26	28	14	32	15	23
"TCTN1"	5	0	8	3	2	30	0	0	4
"PARP8"	25	11	19	2	22	91	8	7	93
"USP42"	1	17	2	6	16	0	0	0	2
"MIR4305"	0	0	0	0	0	0	0	0	0
"KIAA1598"	0	0	0	0	0	0	0	0	0
"LINC00087"	0	0	0	0	0	0	0	0	0
"PTGER4P2-CDK2AP2P2"	0	0	0	0	0	0	0	0	0
"N4BP2L2"	73	1	306	14	239	57	29	56	371
"CCBL1"	0	0	0	0	0	0	0	0	0
"SCML1"	13	0	34	4	4	0	5	0	0
"SYPL1"	105	0	7	6	50	58	15	1	42
"SURF6"	51	2	44	8	24	17	5	6	3
"SLC20A2"	118	0	31	5	107	8	19	35	15
"SLA"	0	0	0	0	0	0	0	0	0
"VCX"	0	0	0	0	0	0	0	0	0
"RBP4"	40	0	8	0	0	0	0	2	0
"RBM3"	51	0	84	6	13	14	2	3	0
"PPP1R1A"	1	1	2	4	0	4	16	2	26
"RNU6-57P"	0	0	0	0	0	0	0	0	0
"SRD5A1"	154	8	31	26	103	39	21	74	70
"HBG2"	0	0	0	0	0	0	0	0	0
"HADHB"	150	16	32	41	50	37	56	17	27
"HADHA"	46	0	11	1	13	4	31	12	6
"ARHGAP10"	0	0	20	0	0	0	5	0	0
"XK"	17	0	0	0	29	0	11	0	0
"B3GALT1"	168	22	62	68	95	63	29	76	11
"DAB1"	89	12	13	0	78	46	66	75	12
"PANK3"	323	25	147	38	98	34	79	160	123
"AQP9"	0	0	0	0	0	0	0	0	0
"SH2B2"	0	0	0	0	0	0	0	0	0
"CHMP6"	0	0	3	0	0	0	0	0	0
"KAT2A"	72	0	27	25	25	0	14	9	29
"TMEM204"	0	0	0	0	0	0	0	0	0
"GHRH"	0	0	0	0	0	0	0	0	0
"ANK2"	2755	495	1593	606	1213	478	1045	1008	1391
"CCDC121"	0	0	0	4	9	0	0	0	0
"CLSTN1"	412	32	271	178	173	47	146	212	108
"SLC25A41"	0	0	0	0	0	0	0	0	0
"FAM184A"	69	0	249	38	49	52	22	4	33
"SMIM2-AS1"	0	0	0	0	0	0	0	0	0
"SMIM2"	0	0	0	0	0	0	0	0	0
"CCDC91"	222	0	38	50	39	2	75	18	38
"TNXA"	0	0	0	0	0	0	0	0	0
"ZNF781"	4	0	12	1	0	0	4	0	19
"ZNF383"	10	0	16	0	19	0	12	4	8
"TSTD2"	0	9	10	1	11	1	22	14	0
"SDCBP2-AS1"	1	0	12	0	0	1	0	0	7
"RNU6-69P"	0	0	0	0	0	0	0	0	0
"SLC44A1"	20	13	75	8	18	102	70	14	58
"LOC728989"	0	0	0	0	0	0	0	0	0
"DHRS4"	2	0	0	0	0	0	0	0	0
"FOLR1"	0	0	0	0	0	0	0	0	0
"NME8"	0	0	0	0	0	0	0	0	0
"OAS2"	0	0	0	0	0	0	0	0	0
"OAS1"	0	0	0	0	0	0	2	5	0
"LINC00563"	0	0	0	0	0	0	0	0	0
"EIF2AK2"	159	14	162	143	74	51	32	50	61
"CATSPERB"	0	0	0	0	0	0	0	0	0
"RNU6-68P"	0	0	0	0	0	0	0	0	0
"JMJD6"	2	28	2	24	16	0	16	7	12
"P2RY14"	0	0	0	0	0	0	0	0	8
"ZNF407"	13	3	28	72	25	19	28	4	65
"TOX3"	27	22	104	32	48	1	6	15	11
"TARBP2"	21	0	22	0	16	0	1	1	17
"WNT16"	0	0	0	0	0	0	0	0	0
"COL6A3"	0	0	1	0	0	0	0	0	0
"4-Mar"	0	0	0	0	0	0	0	0	0
"ZNF471"	111	7	43	8	75	9	6	4	47
"LINC00441"	0	0	0	0	0	0	0	0	0
"WDSUB1"	42	0	4	7	0	0	0	1	3
"KCNE1"	0	0	0	0	0	0	0	0	0
"NFYC"	25	0	11	11	40	0	12	1	10
"LINC00462"	0	0	0	0	0	0	0	0	0
"CELF6"	0	0	0	0	0	0	0	0	0
"ACBD5"	115	0	26	93	79	18	53	1	5
"MAP4K4"	106	6	66	3	49	61	89	20	35
"HLA-DPA1"	2	0	0	0	0	0	0	28	20
"TRIM41"	0	9	12	0	16	4	5	9	9
"SLC38A5"	0	0	0	0	0	0	0	0	0
"SHANK3"	15	0	8	0	13	0	1	7	0
"GRIN3B"	0	0	0	0	0	0	0	0	0
"PTPN11"	316	44	58	57	23	26	64	117	76
"MYO18A"	64	2	30	4	27	0	9	12	4
"CTAGE10P"	0	0	0	0	0	0	0	0	0
"ACP5"	0	0	0	0	0	0	0	0	0
"CHRNA3"	0	0	0	0	0	0	0	0	0
"DLEU2"	0	0	0	1	0	1	0	0	0
"MIR3613"	0	0	0	0	0	0	0	0	0
"CERK"	399	20	165	50	163	108	75	152	127
"LOC101929231"	0	0	0	0	0	0	0	0	0
"LOC101929260"	0	0	0	0	0	0	0	0	0
"SNORD52"	0	0	0	0	0	0	0	0	0
"TMEM33"	303	19	134	33	218	21	33	126	24
"ARHGEF10L"	52	1	7	1	28	20	10	1	8
"CCL21"	0	0	0	0	0	0	0	0	0
"CCL22"	0	0	0	0	0	0	0	0	0
"C9orf173"	0	0	0	0	0	0	0	0	0
"HSPA12A"	382	8	412	48	229	23	76	98	97
"MROH9"	0	0	0	0	0	0	0	0	0
"PROKR1"	15	0	0	0	0	0	0	0	0
"CSNK1D"	140	10	72	3	43	17	43	63	44
"TGIF2LX"	0	0	0	0	0	0	0	0	0
"HLTF"	57	35	149	20	92	32	66	16	11
"POTEH"	0	0	0	0	0	0	0	0	0
"LY6G5C"	0	0	0	0	0	0	0	0	0
"LY6G6C"	0	0	0	0	0	0	0	0	0
"BPIFA1"	0	0	0	0	0	0	0	0	0
"DGCR14"	0	0	0	0	0	0	0	0	0
"NUCKS1"	505	51	248	58	227	87	156	81	231
"SMAP2"	179	18	83	35	79	31	19	73	90
"SNORA32"	0	0	0	0	0	0	0	0	0
"PTPRVP"	0	0	1	0	0	0	0	0	0
"LPXN"	0	1	28	0	8	0	17	0	0
"PPY"	0	0	0	0	0	0	0	0	0
"CWC22"	3	5	31	9	14	101	13	14	6
"LOC283177"	0	0	0	0	0	0	0	0	0
"LOC650226"	0	0	0	0	0	0	0	0	0
"LOC574538"	0	0	0	0	0	0	0	0	0
"MIR298"	0	0	0	0	0	0	0	0	0
"NAP1L6"	0	0	0	0	0	0	0	0	0
"RN7SL2"	2682	540	703	1383	840	50	2238	1466	900
"MIR106A"	0	0	0	0	0	0	0	0	0
"MIR103A2"	0	0	0	0	0	0	2	0	0
"FAM45B"	0	1	0	0	0	0	0	0	1
"MIR199A1"	0	0	0	0	0	0	0	0	0
"MIR675"	0	0	0	0	0	0	0	0	0
"MIR29B2"	0	0	0	0	0	0	0	0	0
"MIR31HG"	0	0	0	0	0	0	0	0	0
"C3orf49"	3	0	0	0	0	0	0	0	0
"LINC00485"	0	0	0	0	0	0	0	0	0
"MIR100"	0	0	0	0	0	0	0	0	0
"MIR95"	0	0	0	0	0	0	0	0	0
"LINC00467"	11	1	0	3	12	0	3	2	2
"MIR26B"	0	0	0	0	0	0	0	0	0
"MIR33A"	0	0	0	0	0	0	0	0	0
"MIR24-1"	0	0	0	0	0	0	0	0	0
"MIR105-2"	0	0	0	0	0	0	0	0	0
"MIR32"	0	0	0	0	0	0	0	0	0
"XPC"	5	0	31	2	2	1	16	25	0
"COX7A2"	255	18	91	34	126	58	100	170	105
"LOC283335"	0	0	0	0	0	0	0	0	0
"PSMA3-AS1"	9	1	15	3	10	2	14	42	13
"SMA4"	0	0	0	0	0	0	0	0	0
"DIAPH3-AS1"	0	0	0	0	0	0	0	0	0
"CWF19L1"	2	0	9	0	9	3	0	0	12
"PRMT6"	67	0	71	0	91	8	6	19	30
"ASPM"	0	0	0	0	0	0	0	3	0
"FAM135A"	11	0	84	8	71	9	8	7	29
"RNU6-81P"	0	0	0	0	0	0	0	0	0
"KIAA0196"	0	0	0	0	0	0	0	0	0
"CEP83"	11	0	5	0	8	0	0	4	3
"PCDH9-AS2"	0	0	13	0	0	0	0	0	0
"KIAA1467"	0	0	0	0	0	0	0	0	0
"ISLR2"	0	0	0	0	0	0	0	0	7
"LINC00348"	0	0	0	0	0	0	0	0	0
"ELP2"	30	1	78	6	70	2	22	42	10
"TMTC1"	57	75	130	86	87	71	126	126	300
"IQSEC2"	3	27	11	1	5	2	33	3	11
"INS"	0	0	0	0	5	0	0	0	0
"RNU6-79P"	0	0	0	0	0	0	0	0	0
"RNU6-66P"	0	0	0	0	0	0	0	0	0
"IP6K3"	0	0	0	0	0	0	0	0	0
"RFK"	544	152	288	47	384	267	270	149	632
"SERPINB10"	0	0	0	0	0	0	0	0	0
"PGGT1B"	27	6	19	9	0	3	2	19	87
"MTL5"	0	0	0	0	0	0	0	0	0
"SEC24C"	22	0	7	0	0	0	0	0	2
"TCL1B"	0	0	0	0	0	0	0	0	0
"PCYT1A"	69	17	32	50	62	16	43	6	0
"OXA1L"	15	55	17	19	53	20	24	36	13
"BTF3P11"	0	0	0	0	0	0	0	0	0
"LOC101928174"	0	0	0	0	0	0	0	0	0
"GPR63"	64	1	11	1	39	0	6	0	8
"CAPN2"	214	0	29	32	29	24	10	9	19
"PCYT1B"	0	0	35	3	0	0	1	0	23
"IFNA6"	0	0	0	0	0	0	0	0	0
"SLC47A1"	0	0	0	0	0	0	0	0	0
"AGK"	31	1	36	14	6	14	31	20	0
"ERO1LB"	0	0	0	0	0	0	0	0	0
"COL14A1"	0	0	0	0	4	1	4	52	1
"KIAA1522"	0	0	11	2	24	0	17	25	0
"CAPN13"	0	0	0	0	0	0	0	0	0
"CHST14"	0	0	0	0	0	0	0	0	0
"PRRG3"	2	3	16	1	2	3	16	9	4
"UBAP1"	3	0	22	30	6	1	30	24	5
"TESC"	0	0	0	0	0	0	2	0	1
"SLC38A6"	53	14	12	26	74	0	24	65	0
"MIR1184-1"	0	0	0	0	0	0	0	0	0
"MIR2277"	0	0	0	0	0	0	0	0	0
"MIR711"	0	0	0	0	0	0	0	0	0
"MIR2278"	0	0	0	0	0	0	0	0	0
"MIR548Q"	0	0	0	0	0	0	0	0	0
"RNU6-67P"	0	0	0	0	0	0	0	0	0
"LINC00333"	4	0	0	0	0	0	0	0	0
"RNU6-72P"	0	0	0	0	0	0	0	0	0
"KYNU"	0	0	0	0	0	0	0	0	0
"LINC00397"	0	0	0	0	0	0	0	0	0
"RNU6-75P"	0	0	0	0	0	0	0	0	0
"LINC00380"	0	0	0	0	0	0	0	0	0
"LINC00379"	0	0	0	0	0	0	0	0	3
"FHL2"	0	0	0	1	0	0	0	0	0
"CD99"	0	0	0	0	0	0	2	0	0
"PDGFB"	43	0	0	0	0	0	0	0	0
"RPAP2"	33	35	42	13	84	76	42	39	11
"BAALC"	80	0	23	0	0	58	37	5	31
"ATP13A3"	221	0	33	0	38	2	42	14	42
"UNC79"	26	4	71	22	28	15	16	2	55
"KIAA1407"	0	0	0	0	0	0	0	0	0
"PHLPP2"	106	0	41	4	27	11	9	118	4
"TMPRSS6"	0	0	0	0	0	0	0	0	0
"C16orf58"	0	0	1	0	9	0	0	0	0
"B4GALT2"	51	1	48	0	13	3	34	38	23
"MATN2"	47	7	118	4	94	5	24	19	44
"SMYD3"	41	22	41	2	14	5	12	5	5
"SMURF2"	11	0	27	21	31	0	5	13	8
"WDR59"	54	0	48	5	46	0	6	70	28
"TMEM177"	0	0	18	2	3	0	12	0	1
"LIMD2"	0	0	22	5	16	0	0	7	0
"THAP7"	5	4	0	0	3	0	12	0	1
"SPX"	136	0	0	0	4	0	9	7	7
"ITIH5"	0	0	1	0	0	1	1	0	22
"LOC101060553"	0	0	0	0	0	0	0	0	0
"ARHGEF7-AS1"	0	0	0	0	0	0	0	0	0
"PRR7"	0	0	0	0	0	0	0	0	1
"TMEM121"	15	0	15	1	1	0	0	0	0
"PTGES3L-AARSD1"	0	0	0	0	0	0	0	0	0
"ACBD3"	354	2	37	77	9	66	36	8	227
"THUMPD2"	12	0	15	2	11	0	3	5	56
"RNU6-83P"	0	0	0	0	0	0	0	0	0
"LSG1"	104	17	35	8	99	10	15	63	29
"FKSG29"	0	0	0	0	0	0	0	0	0
"SUPT4H1"	10	3	39	18	37	0	4	65	3
"KCNH2"	4	8	40	23	40	73	0	8	8
"CT45A5"	0	0	0	0	0	0	0	0	0
"LINC00554"	0	0	0	0	0	0	0	0	0
"ALDH3B1"	0	0	0	0	0	0	0	3	3
"CENPK"	0	0	0	0	0	0	12	0	0
"LRRC4"	6	0	0	11	44	0	3	0	5
"ELSPBP1"	0	0	0	0	0	0	0	0	0
"EPB41L4A"	0	0	0	0	0	0	0	1	0
"SAR1A"	409	1	116	51	327	79	163	11	107
"ELTD1"	0	0	0	0	0	0	0	0	0
"GEN1"	0	0	19	0	33	27	3	0	121
"CUZD1"	0	0	0	0	0	0	0	0	0
"DUS1L"	11	0	33	0	17	20	0	42	0
"TMBIM1"	2	0	24	0	0	1	3	0	0
"GRIPAP1"	63	4	91	18	24	7	20	54	36
"MAGEF1"	68	24	74	82	52	30	8	51	50
"RTP4"	0	0	0	0	0	0	0	0	0
"NPFFR1"	9	0	0	0	0	1	1	0	0
"FGF14-AS2"	0	0	0	0	2	0	0	0	21
"ASB10"	0	0	0	0	0	0	0	0	0
"ILF3"	44	10	76	6	57	28	31	62	54
"CDCA4"	11	0	0	0	2	0	0	0	0
"RNF152"	104	45	148	243	113	23	74	46	149
"DAOA-AS1"	0	0	0	0	0	0	0	0	0
"LAMTOR1"	217	56	153	61	90	36	15	125	64
"C21orf62"	0	0	0	0	0	0	0	0	0
"RPS7P5"	0	1	0	0	0	0	0	0	0
"LOC494127"	0	0	0	0	0	0	0	0	0
"TDP1"	42	1	0	0	1	0	4	0	0
"C10orf2"	0	0	0	0	0	0	0	0	1
"CLK1"	3	1	81	32	45	107	41	214	8
"C2orf83"	0	0	0	0	0	0	21	0	0
"HN1L"	0	0	0	0	0	0	0	0	0
"TMEM55B"	0	0	0	0	0	0	0	0	0
"ZNF700"	0	0	10	0	13	1	2	0	0
"SLC39A3"	14	1	10	0	5	1	2	20	2
"UBE3B"	41	5	51	1	16	3	33	38	23
"SBNO2"	0	3	0	7	0	0	0	0	0
"SLC8A2"	19	2	25	2	55	10	3	47	11
"SPG20-AS1"	0	0	0	0	0	0	0	0	0
"TMEM91"	3	2	11	1	2	0	0	5	12
